region,prov,municity,percent_cnt,percent_amt,target_cnt_4p,target_cnt_n4p,total_cnt_target,actual_cnt_4p,actual_cnt_n4p,total_cnt_actual,target_amt_4p,target_amt_n4p,total_amt_target,actual_amt_4p,actual_amt_n4p,total_amt_actual,actual_amt_lgu_n4p
XII,CITY OF COTABATO,,0.9880332378,0.9903082173,12487,21691,34178,12078,21691,33769,45577550,108455000,154032550,44084700,108455000,152539700,108455000
IX,CITY OF ISABELA,,0.998308352,0.9997737285,9123,16296,25419,9080,16296,25376,31437450,81480000,112917450,31411900,81480000,112891900,81480000
XII,COTABATO (NORTH COTABATO),,0.9946671934,0.9957939258,80968,212686,293654,79402,212686,292088,295533200,1063430000,1358963200,289817300,1063430000,1353247300,1063430000
XI,DAVAO DE ORO (COMPOSTELA VALLEY),,0.9978798016,0.9981591184,65070,71238,136308,64781,71238,136019,302575500,427428000,730003500,301231650,427428000,728659650,427428000
XI,DAVAO DEL NORTE,,0.9865221247,0.98567229,58924,115881,174805,58740,113709,172449,273996600,695286000,969282600,273141000,682254000,955395000,695286000
XI,DAVAO DEL SUR,,0.9758020858,0.9752981618,64819,395138,459957,64248,384579,448827,301408350,2370828000,2672236350,298753200,2307474000,2606227200,2370828000
XI,DAVAO OCCIDENTAL,,0.9962552892,0.9967517963,35025,38946,73971,34748,38946,73694,162866250,233676000,396542250,161578200,233676000,395254200,233676000
XI,DAVAO ORIENTAL,,0.9987565001,0.9989425832,41808,64344,106152,41676,64344,106020,194407200,386064000,580471200,193793400,386064000,579857400,386064000
CARAGA,DINAGAT ISLANDS,,0.9983018679,1.218448259,9248,20785,30033,9197,20785,29982,33755200,103925000,137680200,63831200,103925000,167756200,103925000
VIII,EASTERN SAMAR,,0.992334236,0.9919074755,30614,60962,91576,30511,60363,90874,111741100,304810000,416551100,111365150,301815000,413180150,304810000
VI,GUIMARAS,,0.9983951089,0.9977380472,8294,17876,26170,8252,17876,26128,38701950,107256000,145957950,38371800,107256000,145627800,107256000
CAR,IFUGAO,,0.9417287066,0.9381064442,9464,30161,39625,9463,27853,37316,39275600,165885500,205161100,39271450,153191500,192462950,156744500
I,ILOCOS NORTE,,0.9461044237,0.9438687957,19371,100008,119379,19371,93574,112945,80389650,550044000,630433650,80389650,514657000,595046650,550044000
I,ILOCOS SUR,,0.9851454524,0.9844003943,27395,105157,132552,27370,103213,130583,113689250,578363500,692052750,113585500,567671500,681257000,578363500
VI,ILOILO,,0.9325673053,0.9298247713,92999,389838,482837,92483,357795,450278,432264000,2339028000,2771292000,430045950,2146770000,2576815950,2339028000
II,ISABELA,,0.9964402534,0.9954201705,48575,269987,318562,48164,269264,317428,201586250,1484928500,1686514750,197838800,1480952000,1678790800,1484928500
CAR,KALINGA,,0.9531729372,0.9495806023,10786,26372,37158,10786,24632,35418,44761900,145046000,189807900,44761900,135476000,180237900,140519500
I,LA UNION,,0.9657042955,0.9642609738,30909,152700,183609,30884,146428,177312,128272350,839850000,968122350,128168600,805354000,933522600,839850000
IV-A,LAGUNA,,0.995206398,0.9951198088,42326,448328,490654,42324,445978,488302,217978900,2914132000,3132110900,217968600,2898857000,3116825600,2914132000
X,LANAO DEL NORTE,,0.9896497506,0.9896393647,67613,116827,184440,66921,115610,182531,314400450,700962000,1015362450,311182650,693660000,1004842650,700962000
BARMM,LANAO DEL SUR,,0.9676163773,1.094687506,77927,53207,114842,74272,48465,111123,284433550,266035000,469008550,271092800,242325000,513417800,266035000
VIII,LEYTE,,0.8996331143,0.8939133908,122771,297796,420567,118656,259700,378356,448114150,1488980000,1937094150,433094400,1298500000,1731594400,1488980000
BARMM,MAGUINDANAO,,0.9791511184,0.9802465327,119749,26302,146051,116791,26215,143006,437083850,131510000,568593850,426287150,131075000,557362150,131510000
IV-B,MARINDUQUE,,0.7415822849,0.7297040824,11338,57891,69229,11319,40020,51339,41383700,289455000,330838700,41314350,200100000,241414350,286480000
V,MASBATE,,0.9898951596,0.9917541623,73108,114129,187237,71216,114129,185345,266844200,570645000,837489200,259938400,570645000,830583400,570645000
X,MISAMIS OCCIDENTAL,,0.9852179533,0.985014956,34121,75742,109863,33694,74545,108239,158662650,454452000,613114650,156677100,447250000,603927100,454452000
X,MISAMIS ORIENTAL,,0.9986280977,0.9984866336,71661,236670,308331,71238,236670,307908,333223650,1420020000,1753243650,331256700,1419333650,1750590350,1420020000
CAR,MOUNTAIN PROVINCE,,0.9585781936,0.9566498719,6468,28586,35054,6463,27139,33602,26842200,157223000,184065200,26821450,149264500,176085950,156046000
NCR,"NCR, CITY OF MANILA, FIRST DISTRICT (Not a Province)",,0.9952040033,0.9958778016,44929,185680,230609,43823,185680,229503,298777850,1485440000,1784217850,291422950,1485440000,1776862950,1485440000
NCR,"NCR, FOURTH DISTRICT (Not a Province)",,0.9734103871,0.9735696625,46130,414501,460631,44476,403907,448383,306764500,3316008000,3622772500,295765400,3231256000,3527021400,3316008000
NCR,"NCR, SECOND DISTRICT (Not a Province)",,0.9980506378,0.9983509853,67609,590042,657651,66327,590042,656369,449599850,4720336000,5169935850,441074550,4720336000,5161410550,4720336000
NCR,"NCR, THIRD DISTRICT (Not a Province)",,0.9966976486,0.9971796808,69175,368392,437567,67730,368392,436122,460013750,2947136000,3407149750,450404500,2947136000,3397540500,2947136000
VI,NEGROS OCCIDENTAL,,0.9904907192,0.9909129979,125592,469616,595208,124460,465088,589548,582468300,2817696000,3400164300,578739000,2790528000,3369267000,2817696000
VII,NEGROS ORIENTAL,,0.9761736052,0.9758892264,70338,250021,320359,69047,243679,312726,327071700,1500126000,1827197700,321068550,1462074000,1783142550,1500126000
VIII,NORTHERN SAMAR,,0.9814124385,0.9795630277,44948,66094,111042,44790,64188,108978,164060200,330470000,494530200,163483500,320940000,484423500,330470000
III,NUEVA ECIJA,,0.9909642563,0.9909034341,85373,395495,480868,84741,391782,476523,439665800,2570717500,3010383300,436416150,2546583000,2982999150,2560181000
II,NUEVA VIZCAYA,,0.8817752479,0.8757603499,15016,80903,95919,15006,69573,84579,62316400,444966500,507282900,61606750,382651500,444258250,444966500
IV-B,OCCIDENTAL MINDORO,,0.9993321437,0.9994663933,30644,65185,95829,30580,65185,95765,111850600,325925000,437775600,111617000,325925000,437542000,325925000
IV-B,ORIENTAL MINDORO,,0.9984786196,0.9987860772,56356,122429,178785,56084,122429,178513,205699400,612145000,817844400,204706600,612145000,816851600,612145000
IV-B,PALAWAN,,0.9945466799,0.9955259006,78685,115692,194377,77628,115689,193317,287200250,578460000,865660250,283342200,578445000,861787200,578460000
III,PAMPANGA,,0.9935605209,0.9937263117,51750,290669,342419,51152,289062,340214,266512500,1889348500,2155861000,263432800,1878903000,2142335800,1880632000
I,PANGASINAN,,0.9961002716,0.995910014,128089,435540,563629,128002,433429,561431,531569350,2395470000,2927039350,531208300,2383859500,2915067800,2395470000
IV-A,QUEZON,,0.9640236836,0.9624714466,92192,366860,459052,92163,350374,442537,474788800,2384590000,2859378800,474639450,2277431000,2752070450,2384590000
II,QUIRINO,,0.9315264279,0.9252233218,8338,30144,38482,8217,27630,35847,34602700,165792000,200394700,33444850,151965000,185409850,165792000
IV-A,RIZAL,,0.9891482715,0.9888857525,41282,306681,347963,41263,302924,344187,212602300,1993426500,2206028800,212504450,1969006000,2181510450,1993426500
IV-B,ROMBLON,,0.9534781955,0.950281438,18078,55049,73127,18045,51680,69725,65984700,275245000,341229700,65864250,258400000,324264250,274435000
VIII,SAMAR (WESTERN SAMAR),,0.9772311965,0.9750216929,56992,79818,136810,56688,77007,133695,208020800,399090000,607110800,206911200,385035000,591946200,399090000
XII,SARANGANI,,0.9899622581,0.9917877412,39750,59874,99624,38750,59874,98624,145087500,299370000,444457500,141437500,299370000,440807500,299370000
VII,SIQUIJOR,,0.7435562196,0.7363052031,3998,28126,32124,3979,19907,23886,18590700,168756000,187346700,18502350,119442000,137944350,163524000
V,SORSOGON,,0.9938934294,0.9951136407,59578,123831,183409,58458,123831,182289,217459700,619155000,836614700,213371700,619155000,832526700,619155000
XII,SOUTH COTABATO,,0.9851334275,0.9856863476,65658,257214,322872,64057,254015,318072,239651700,1286070000,1525721700,233808050,1270075000,1503883050,1286070000
VIII,SOUTHERN LEYTE,,0.9830600063,0.9820372033,19064,60511,79575,19023,59204,78227,69583600,302555000,372138600,69433950,296020000,365453950,302555000
XII,SULTAN KUDARAT,,0.9950117876,0.9960250984,51575,116822,168397,50738,116819,167557,188248750,584110000,772358750,185193700,584095000,769288700,584110000
BARMM,SULU,,0.8722673762,0.8885855105,65152,72033,137185,49602,70060,119662,237804800,360165000,597969800,181047300,350300000,531347300,360165000
CARAGA,SURIGAO DEL NORTE,,0.9987029377,1.01207885,33353,52225,85578,33242,52225,85467,121738450,261125000,382863450,126363000,261125000,387488000,261125000
CARAGA,SURIGAO DEL SUR,,0.9978751778,0.9261881278,46340,66140,112480,46101,66140,112241,169141000,330700000,499841000,132246800,330700000,462946800,330700000
III,TARLAC,,0.9941033123,0.9940081015,40338,205054,245392,40205,203740,243945,207745850,1332851000,1540596850,207055750,1324310000,1531365750,1325395500
BARMM,TAWI-TAWI,,0.9353029425,0.937878939,34181,24477,58658,31498,23365,54863,124760650,122385000,247145650,114967700,116825000,231792700,122385000
III,ZAMBALES,,0.9922993296,0.9925532056,20153,90227,110380,19868,89662,109530,103787950,586475500,690263450,102320200,582803000,685123200,583589500
IX,ZAMBOANGA DEL NORTE,,0.9903161417,0.9958320153,104367,121576,225943,102727,121028,223755,360393700,607880000,968273700,359097950,605140000,964237950,607880000
IX,ZAMBOANGA DEL SUR,,0.9953630127,0.9992084448,142243,217042,359285,140577,217042,357619,491811950,1085210000,1577021950,490563650,1085210000,1575773650,1085210000
IX,ZAMBOANGA SIBUGAY,,0.9681304586,0.9711300195,57755,48271,106026,56855,45792,102647,199994450,241355000,441349450,199647700,228960000,428607700,232600000
IV-B,PALAWAN,ABORLAN,0.9610095454,0.9682716308,2356,3825,6181,2115,3825,5940,8599400,19125000,27724400,7719750,19125000,26844750,19125000
IV-B,OCCIDENTAL MINDORO,ABRA DE ILOG,0.9987029831,0.998887619,3400,2768,6168,3392,2768,6160,12410000,13840000,26250000,12380800,13840000,26220800,13840000
III,BATAAN,ABUCAY,0.9935108153,0.9935303578,840,5170,6010,834,5137,5971,4326000,33605000,37931000,4295100,33390500,37685600,33390500
II,CAGAYAN,ABULUG,0.9959113068,0.9964194708,1009,5350,6359,983,5350,6333,4187350,29425000,33612350,4067000,29425000,33492000,29425000
VIII,LEYTE,ABUYOG,0.9977212007,0.9982008121,3554,9172,12726,3525,9172,12697,12972100,45860000,58832100,12866250,45860000,58726250,45860000
I,ILOCOS NORTE,ADAMS,1,1,174,271,445,174,271,445,722100,1490500,2212600,722100,1490500,2212600,1490500
IV-A,QUEZON,AGDANGAN,0.9963885879,0.9962186988,599,2170,2769,599,2160,2759,3084850,14105000,17189850,3084850,14040000,17124850,14105000
II,QUIRINO,AGLIPAY,0.8249027237,0.8146978503,1365,4546,5911,1324,3552,4876,5664750,25003000,30667750,5448950,19536000,24984950,25003000
I,PANGASINAN,AGNO,0.9998114275,0.9998415574,2203,3100,5303,2202,3100,5302,9142450,17050000,26192450,9138300,17050000,26188300,17050000
IV-A,BATANGAS,AGONCILLO,1,1,1478,4351,5829,1478,4351,5829,7611700,28281500,35893200,7611700,28281500,35893200,28281500
I,LA UNION,AGOO,0.8058362894,0.797429429,2541,12400,14941,2538,9502,12040,10545150,68200000,78745150,10532700,52261000,62793700,68200000
I,PANGASINAN,AGUILAR,0.9996206373,0.9996874859,2708,5200,7908,2705,5200,7905,11238200,28600000,39838200,11225750,28600000,39825750,28600000
CAR,IFUGAO,AGUINALDO,0.9111386139,0.9031861063,1352,2688,4040,1352,2329,3681,5610800,14784000,20394800,5610800,12809500,18420300,12842500
IV-B,PALAWAN,AGUTAYA,0.9977365324,0.9980920819,1096,1113,2209,1091,1113,2204,4000400,5565000,9565400,3982150,5565000,9547150,5565000
VI,ILOILO,AJUY,0.9991491775,0.9997641527,3179,7399,10578,3170,7399,10569,14754450,44394000,59148450,14740500,44394000,59134500,44394000
BARMM,BASILAN,AKBAR,0.2486263736,0.2868509175,1245,211,1456,151,211,362,4544250,1055000,5599250,551150,1055000,1606150,1055000
BARMM,BASILAN,AL-BARKA,0.9113802996,0.9150078526,2775,362,3137,2497,362,2859,10128750,1810000,11938750,9114050,1810000,10924050,1810000
IV-A,QUEZON,ALABAT,0.9749925573,0.9737560563,762,2597,3359,762,2513,3275,3924300,16880500,20804800,3924300,16334500,20258800,16880500
XII,SARANGANI,ALABEL (Capital),0.9924489796,0.9938325448,5784,8916,14700,5673,8916,14589,21111600,44580000,65691600,20706450,44580000,65286450,44580000
XII,COTABATO (NORTH COTABATO),ALAMADA,0.9914131859,0.9931975475,3996,9746,13742,3878,9746,13624,14585400,48730000,63315400,14154700,48730000,62884700,48730000
IV-A,LAGUNA,ALAMINOS,1,1,726,6999,7725,726,6999,7725,3738900,45493500,49232400,3738900,45493500,49232400,45493500
VIII,LEYTE,ALANGALANG,0.9744537815,0.9781071224,6531,5369,11900,6227,5369,11596,23838150,26845000,50683150,22728550,26845000,49573550,26845000
VIII,LEYTE,ALBUERA,0.9792719919,0.9779111652,2483,7407,9890,2478,7207,9685,9062950,37035000,46097950,9044700,36035000,45079700,37035000
VII,BOHOL,ALBURQUERQUE,0.9989816701,0.9991928555,194,1770,1964,192,1770,1962,902100,10620000,11522100,892800,10620000,11512800,10620000
I,PANGASINAN,ALCALA,1,1,1610,6600,8210,1610,6600,8210,6681500,36300000,42981500,6681500,36300000,42981500,36300000
II,CAGAYAN,ALCALA,0.9957534579,0.9954477279,1230,7012,8242,1207,7000,8207,5104500,38566000,43670500,4971700,38500000,43471700,38566000
IV-B,ROMBLON,ALCANTARA,1,1,904,3179,4083,904,3179,4083,3299600,15895000,19194600,3299600,15895000,19194600,15895000
VII,CEBU,ALCANTARA,1,1,842,1641,2483,842,1641,2483,3915300,9846000,13761300,3915300,9846000,13761300,9846000
VII,CEBU,ALCOY,0.9974811083,0.9978822243,966,1813,2779,959,1813,2772,4491900,10878000,15369900,4459350,10878000,15337350,10878000
